# 847 Layer-(c) §5 reference-repair worklist — GET re-probe of the 134 HEAD-dead refs.
# MEASURE not verdict. INPUT for ai-01 synthesis update. GATED jsboige ratification. 0 prod CSV.
# get_class in {alive, redirect-3xx, dead, unknown}. Reproducible from 847-layerc-reference-reachability-refs.csv (dead bucket).
pk,lang,host,url,family,subfamily,subsub,get_code,get_class,final_url
311,en,rationalwiki.org,http://rationalwiki.org/wiki/Fast-food_Christianity,Influence,Appel à l'émotion,Connivence,503,dead,https://rationalwiki.org/wiki/Fast-food_Christianity
316,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_the_minority,Influence,Appel à l'émotion,Connivence,503,dead,https://rationalwiki.org/wiki/Appeal_to_the_minority
317,en,fastcompany.com,https://www.fastcompany.com/3032675/5-psychological-tactics-marketers-use-to-influence-consumer-behavior,Influence,Appel à l'émotion,Connivence,403,dead,https://www.fastcompany.com/3032675/5-psychological-tactics-marketers-use-to-influence-consumer-behavior
318,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_shame#Appeal_to_pride,Influence,Appel à l'émotion,Connivence,503,dead,https://rationalwiki.org/wiki/Appeal_to_shame
321,en,rationalwiki.org,http://rationalwiki.org/wiki/Argumentum_ad_martyrdom,Influence,Appel à l'émotion,Connivence,503,dead,https://rationalwiki.org/wiki/Argumentum_ad_martyrdom
326,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_shame,Influence,Appel à l'émotion,Repoussoir,503,dead,https://rationalwiki.org/wiki/Appeal_to_shame
327,en,rationalwiki.org,http://rationalwiki.org/wiki/Argumentum_ad_fastidium,Influence,Appel à l'émotion,Repoussoir,503,dead,https://rationalwiki.org/wiki/Argumentum_ad_fastidium
331,en,rationalwiki.org,https://rationalwiki.org/wiki/Appeal_to_hate,Influence,Appel à l'émotion,Repoussoir,503,dead,https://rationalwiki.org/wiki/Appeal_to_hate
347,en,rationalwiki.org,http://rationalwiki.org/wiki/Tone_argument,Influence,Appel à l'émotion,Appel aux conséquences,503,dead,https://rationalwiki.org/wiki/Tone_argument
349,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_gravity,Influence,Appel à l'émotion,Appel aux conséquences,503,dead,https://rationalwiki.org/wiki/Appeal_to_gravity
363,en,rationalwiki.org,http://rationalwiki.org/wiki/Damning_with_faint_praise,Influence,Manipulation mentale,Conditionnement,503,dead,https://rationalwiki.org/wiki/Damning_with_faint_praise
364,en,rationalwiki.org,http://rationalwiki.org/wiki/Motte_and_bailey,Influence,Manipulation mentale,Conditionnement,503,dead,https://rationalwiki.org/wiki/Motte_and_bailey
438,en,scu.edu,https://www.scu.edu/media/college-of-arts-and-sciences/psychology/documents/Burger-JPSP-1986.pdf,Influence,Manipulation mentale,Jeu de pouvoir,404,dead,https://www.scu.edu/media/college-of-arts-and-sciences/psychology/documents/Burger-JPSP-1986.pdf
475,en,rationalwiki.org,https://rationalwiki.org/wiki/Gish_Gallop,Influence,Manipulation mentale,Jeu de pouvoir,503,dead,https://rationalwiki.org/wiki/Gish_Gallop
