# 847 Layer-(c) reference-reachability — per-reference. MEASURE not verdict. INPUT for ai-01 synthesis. GATED jsboige ratification. 0 prod CSV.
"# bucket in {wikipedia-stable, archive-repointed, dictionary-known, alive, dead, unknown, unparseable}. WMF/archive/dictionary = deterministic allowlist; long-tail = read-only HEAD probe."
pk,lang,host,url,bucket
61,en,don-lindsay-archive.org,http://www.don-lindsay-archive.org/skeptic/arguments.html#scenario,archive-repointed
62,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/149/Rationalization,dictionary-known
63,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/96/Far-Fetched-Hypothesis,dictionary-known
64,en,don-lindsay-archive.org,http://www.don-lindsay-archive.org/skeptic/arguments.html#familiarity,archive-repointed
65,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Sophisme_du_vrai_%C3%89cossais,wikipedia-stable
65,en,en.wikipedia.org,https://en.wikipedia.org/wiki/No_true_Scotsman,wikipedia-stable
66,fr,fr.wiktionary.org,https://fr.wiktionary.org/wiki/effet_rebond,wikipedia-stable
66,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Confirmation_bias#backfire_effect,wikipedia-stable
67,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Semmelweis_reflex,wikipedia-stable
68,en,rationalwiki.org,http://rationalwiki.org/wiki/Argumentum_ex_culo,dead
69,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Just-so_story,wikipedia-stable
70,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Pr%C3%A9jug%C3%A9,wikipedia-stable
70,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Prejudice,wikipedia-stable
70,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/Предрассудок,wikipedia-stable
70,pt,pt.wikipedia.org,https://pt.wikipedia.org/wiki/Preconceito,wikipedia-stable
70,ar,ar.wikipedia.org,https://ar.wikipedia.org/wiki/%D8%AA%D8%AD%D8%A7%D9%85%D9%84,wikipedia-stable
70,es,es.wikipedia.org,https://es.wikipedia.org/wiki/Prejuicio,wikipedia-stable
70,zh,zh.wikipedia.org,https://zh.wikipedia.org/wiki/%E5%81%8F%E8%A6%8B,wikipedia-stable
70,fa,fa.wikipedia.org,https://fa.wikipedia.org/wiki/%D9%BE%DB%8C%D8%B4%E2%80%8C%D8%AF%D8%A7%D9%88%D8%B1%DB%8C,wikipedia-stable
71,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Argument_d%27autorité,wikipedia-stable
71,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Argument_from_authority,wikipedia-stable
71,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/Апелляция_к_авторитету,wikipedia-stable
72,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Argument_d%27autorité,wikipedia-stable
72,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Argument_from_authority,wikipedia-stable
73,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/62/Blind-Authority-Fallacy,dictionary-known
74,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/115/Just-Because-Fallacy,dictionary-known
75,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_confidence,dead
76,en,rationalwiki.org,http://rationalwiki.org/wiki/Invincible_authority,dead
77,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Appeal_to_loyalty,wikipedia-stable
78,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Argument_d%27autorit%C3%A9,wikipedia-stable
78,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Argument_from_authority,wikipedia-stable
79,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Appeal_to_accomplishment,wikipedia-stable
80,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/43/Appeal-to-the-Moon,dictionary-known
81,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/166/Statement-of-Conversion,dictionary-known
82,en,fallacyfiles.org,http://www.fallacyfiles.org/apcelebs.html,dictionary-known
83,fr,charlatans.info,http://www.charlatans.info/logique-suite.shtml#humilite,alive
